Stimestamp - CPU: 0.04%, Memory: 10.23%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.27%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.24%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.27%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.27%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.25%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.25%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.17%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.20%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.16%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.25%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.32%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.38%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.31%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.39%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.35%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.41%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.41%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.38%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.37%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.40%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.41%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.37%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.38%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.40%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.40%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.38%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.38%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.40%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.41%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.38%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.38%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.40%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.40%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.37%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.37%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.41%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.40%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.37%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.42%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.42%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.41%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.40%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.32%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.35%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.39%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.39%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.37%, Disk: 3%
Stimestamp - CPU: 0.04%, Memory: 10.37%, Disk: 3%
